# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9986500373381334E-02  1.0000000003017235E+00
  1.3299719209299993E-01  2.0004769316847745E-02  9.9999975878224612E-01
  2.6599438418599974E-01  2.0060702132062652E-02  9.9999901890382015E-01
  3.9899157627899956E-01  2.0154216362917476E-02  9.9999778551838459E-01
  5.3198876837199982E-01  2.0285303773475018E-02  9.9999606461919344E-01
  6.6498596046500136E-01  2.0454028565479176E-02  9.9999386256692047E-01
  7.9798315255800290E-01  2.0660526638051260E-02  9.9999118546834320E-01
  9.3098034465100443E-01  2.0905005107219540E-02  9.9998803856541529E-01
  1.0639775367440059E+00  2.1187742234857410E-02  9.9998442544880373E-01
  1.1969747288370074E+00  2.1509087233619870E-02  9.9998034754247478E-01
  1.3299719209300089E+00  2.1869460682918805E-02  9.9997580301087918E-01
  1.4629691130230105E+00  2.2269354715152033E-02  9.9997078674814954E-01
  1.5959663051160120E+00  2.2711340552478851E-02  9.9998574008728847E-01
  1.7289634972090135E+00  2.3192109781055549E-02  9.9998042722161162E-01
  1.8619606893020151E+00  2.3714314131606146E-02  9.9997459093042318E-01
  1.9949578813950166E+00  2.4278738593987392E-02  9.9996819822391370E-01
  2.1279550734880179E+00  2.4886244727393890E-02  9.9996120919162990E-01
  2.2609522655810195E+00  2.5537771292443168E-02  9.9995357826414411E-01
  2.3939494576740210E+00  2.6234336823089430E-02  9.9994525207667706E-01
  2.5269466497670225E+00  2.6977040366412776E-02  9.9993617080196051E-01
  2.6599438418600241E+00  2.7767064874164318E-02  9.9992626387780448E-01
  2.7929410339530256E+00  2.8605677848029459E-02  9.9991545462923415E-01
  2.9259382260460272E+00  2.9494235144871355E-02  9.9990365789802105E-01
  3.0589354181390287E+00  3.0436010887109944E-02  9.9987219109439640E-01
  3.1919326102320302E+00  3.1429004976266668E-02  9.9985708993581868E-01
  3.3249298023250318E+00  3.2476583455271157E-02  9.9984063226950481E-01
  3.4579269944180333E+00  3.3580481226817040E-02  9.9982270608306745E-01
  3.5909241865110348E+00  3.4742534408265059E-02  9.9980319067288914E-01
  3.7239213786040364E+00  3.5964686604058924E-02  9.9978195137916326E-01
  3.8569185706970379E+00  3.7248989931143790E-02  9.9975884219961431E-01
  3.9899157627900395E+00  3.8597612213833565E-02  9.9973370192935185E-01
  4.1229129548830405E+00  4.0012836758820100E-02  9.9970635603761382E-01
  4.2559101469760421E+00  4.1497070800312903E-02  9.9967661297061661E-01
  4.3889073390690436E+00  4.3052846926701416E-02  9.9964426383596705E-01
  4.5219045311620452E+00  4.4682830067939820E-02  9.9960907967806656E-01
  4.6549017232550467E+00  4.6389821459362934E-02  9.9957081044121643E-01
  4.7878989153480482E+00  4.8176769383368845E-02  9.9952918912409672E-01
  4.9208961074410498E+00  5.0046769961441473E-02  9.9948392436871913E-01
  5.0538932995340513E+00  5.2003078351602755E-02  9.9943469970764642E-01
  5.1868904916270528E+00  5.4049110705819393E-02  9.9938116894752616E-01
  5.3198876837200544E+00  5.6188456567406467E-02  9.9932295633643486E-01
  5.4528848758130559E+00  5.8424878165131630E-02  9.9925965062529465E-01
  5.5858820679060575E+00  6.0762306071430690E-02  9.9919080621947431E-01
  5.7188792599990590E+00  6.3205087956986400E-02  9.9911592778096592E-01
  5.8518764520920605E+00  6.5758498346044206E-02  9.9903445231977994E-01
  5.9848736441850621E+00  6.8426074190927139E-02  9.9894582900965345E-01
  6.1178708362780636E+00  7.1212106778954690E-02  9.9884944511709450E-01
  6.2508680283710651E+00  7.4121454019179758E-02  9.9874462421579380E-01
  6.3838652204640667E+00  7.7158979549705867E-02  9.9863063280677367E-01
  6.5168624125570682E+00  8.0329485587976188E-02  9.9850669378829027E-01
  6.6498596046500698E+00  8.3638675903887599E-02  9.9837193687100145E-01
  6.7828567967430713E+00  8.7091671264264481E-02  9.9822544765162469E-01
  6.9158539888360728E+00  9.0694386756469972E-02  9.9806622771797948E-01
  7.0488511809290744E+00  9.4452572696146375E-02  9.9789319780288166E-01
  7.1818483730220759E+00  9.8372708058740863E-02  9.9770519041512951E-01
  7.3148455651150774E+00  1.0246285371092907E-01  9.9750084319024490E-01
  7.4478427572080790E+00  1.0672962228086125E-01  9.9727881028436316E-01
  7.5808399493010805E+00  1.1118069265849750E-01  9.9703751044796018E-01
  7.7138371413940821E+00  1.1582555216089549E-01  9.9677522950020181E-01
  7.8468343334870836E+00  1.2065489917070078E-01  9.9649877114870122E-01
  7.9798315255800851E+00  1.2572856113147374E-01  9.9618024720490594E-01
  8.1128287176730627E+00  1.3101003341357137E-01  9.9584550655076032E-01
  8.2458259097660367E+00  1.3647800824551296E-01  9.9545739245653797E-01
  8.3788231018590107E+00  1.4226738017674564E-01  9.9507705033580396E-01
  8.5118202939519847E+00  1.4827292753722260E-01  9.9464229664964265E-01
  8.6448174860449587E+00  1.5454425479287784E-01  9.9416867352776950E-01
  8.7778146781379327E+00  1.6109818066883827E-01  9.9365263230151635E-01
  8.9108118702309067E+00  1.6794584027272683E-01  9.9309001781072459E-01
  9.0438090623238807E+00  1.7510755485973911E-01  9.9247652123147045E-01
  9.1768062544168547E+00  1.8259708577296582E-01  9.9180420731534658E-01
  9.3098034465098287E+00  1.9043164949836333E-01  9.9107623892245611E-01
  9.4428006386028027E+00  1.9864439732578815E-01  9.9026988291301399E-01
  9.5757978306957767E+00  2.0723756087575515E-01  9.8938992907050938E-01
  9.7087950227887507E+00  2.1623169626203459E-01  9.8843583385441258E-01
  9.8417922148817247E+00  2.2566428881717293E-01  9.8738419904791497E-01
  9.9747894069746987E+00  2.3554929393742555E-01  9.8622517796082454E-01
  1.0107786599067673E+01  2.4590514441077202E-01  9.8497414578712772E-01
  1.0240783791160647E+01  2.5677976973797784E-01  9.8358710974380048E-01
  1.0373780983253621E+01  2.6818623128015817E-01  9.8208199204417301E-01
  1.0506778175346595E+01  2.8021528417988489E-01  9.8039594600279467E-01
  1.0639775367439569E+01  2.9284575203378038E-01  9.7856100316503658E-01
  1.0772772559532543E+01  3.0618007705673439E-01  9.7651398384328247E-01
  1.0905769751625517E+01  3.2024543413653556E-01  9.7427166846408941E-01
  1.1038766943718491E+01  3.3509601760208052E-01  9.7178601455398050E-01
  1.1171764135811465E+01  3.5082226506975001E-01  9.6899343314579645E-01
  1.1304761327904439E+01  3.6744287846348578E-01  9.6592539767695695E-01
  1.1437758519997413E+01  3.8509545998583450E-01  9.6247117263019977E-01
  1.1570755712090387E+01  4.0383294726982322E-01  9.5863527687239958E-01
  1.1703752904183361E+01  4.2380727657661132E-01  9.5432964660052766E-01
  1.1836750096276335E+01  4.4518544294163254E-01  9.4944070792893653E-01
  1.1969747288369309E+01  4.6795438008490869E-01  9.4392954821439767E-01
  1.2102744480462283E+01  4.9242457449847105E-01  9.3767749877114637E-01
  1.2235741672555257E+01  5.1872131879057870E-01  9.3056639998595458E-01
  1.2368738864648231E+01  5.4714307098076786E-01  9.2234991922496690E-01
  1.2501736056741205E+01  5.7784332420511664E-01  9.1292817393513415E-01
  1.2634733248834179E+01  6.1101080377410477E-01  9.0199735130148151E-01
  1.2767730440927153E+01  6.4693162405578652E-01  8.8922639592294273E-01
  1.2900727633020127E+01  6.8577254630540530E-01  8.7416721668547348E-01
  1.3033724825113101E+01  7.2711088191397566E-01  8.5638117562204430E-01
  1.3166722017206075E+01  7.6996589644959224E-01  8.3531642043974785E-01
  1.3299719209299049E+01  8.1292995983555494E-01  8.1008501931640098E-01
  1.3432716401392023E+01  8.5130909624831175E-01  7.7910500961744833E-01
  1.3565713593484997E+01  9.5770829958115489E-01  8.0818234880910989E-01
  1.3698710785577971E+01  9.8680307143903556E-01  7.8954937730407815E-01
  1.3831707977670945E+01  1.1195492688997846E+00  8.7667805434228552E-01
  1.3964705169763919E+01  1.1958852699044011E+00  8.9437194503143480E-01
  1.4097702361856893E+01  1.1371590004068430E+00  8.1157725582343065E-01
  1.4230699553949867E+01  1.1523654461581065E+00  7.9182805517830201E-01
  1.4363696746042841E+01  1.0799681670618948E+00  7.9029996197565366E-01
  1.4496693938135815E+01  1.0985312657101198E+00  9.8501272185276589E-01
  1.4629691130228789E+01  1.1132000569275156E+00  1.1105252976645308E+00
  1.4762688322321763E+01  1.0958772389445575E+00  1.2378761099787132E+00
  1.4895685514414737E+01  1.0459823903524703E+00  1.2221375570816251E+00
  1.5028682706507711E+01  1.0498432308044614E+00  1.1758841829163780E+00
  1.5161679898600685E+01  1.0146963355979757E+00  1.2225244861034237E+00
  1.5294677090693659E+01  8.5536135028082538E-01  1.3263310015213605E+00
  1.5427674282786633E+01  6.8120685452002239E-01  1.3144506772005173E+00
  1.5560671474879607E+01  5.3159042597618955E-01  1.3989457215579637E+00
  1.5693668666972581E+01  4.4904359625598789E-01  1.5023637275248460E+00
  1.5826665859065555E+01  4.1411705317614766E-01  1.2401742723730180E+00
  1.5959663051158529E+01  1.7839837983687515E-01  1.5036805832441631E+00
  1.6092660244290201E+01  3.2719112190429400E-01  1.4746759805589487E+00
  1.6092660244290233E+01  3.2719112190429400E-01  1.4746759805589487E+00
