# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9993280822867953E-02  1.0000000000861284E+00
  1.2699789706700004E-01  2.0010475848297151E-02  9.9999981169987917E-01
  2.5399579413399975E-01  2.0063170532525151E-02  9.9999923159830428E-01
  3.8099369120099946E-01  2.0151359553737209E-02  9.9999825631986206E-01
  5.0799158826799917E-01  2.0275103150337655E-02  9.9999688069741843E-01
  6.3498948533499888E-01  2.0434526025646379E-02  9.9999509769153760E-01
  7.6198738240199859E-01  2.0629817094687111E-02  9.9999289815122239E-01
  8.8898527946899830E-01  2.0861229412584656E-02  9.9999027075313629E-01
  1.0159831765359983E+00  2.1129080440177736E-02  9.9998720176956502E-01
  1.1429810736030015E+00  2.1433752217269394E-02  9.9998367504748598E-01
  1.2699789706700046E+00  2.1775691994323609E-02  9.9997967169986413E-01
  1.3969768677370078E+00  2.2155412577575220E-02  9.9997517015989845E-01
  1.5239747648040110E+00  2.2573493333268833E-02  9.9997014569011189E-01
  1.6509726618710141E+00  2.3030580645558053E-02  9.9996457059446131E-01
  1.7779705589380173E+00  2.3527389268169271E-02  9.9995841329005586E-01
  1.9049684560050204E+00  2.4064702963117971E-02  9.9995163891417782E-01
  2.0319663530720233E+00  2.4643376274559921E-02  9.9994420816691898E-01
  2.1589642501390265E+00  2.5264335193346168E-02  9.9993607825769260E-01
  2.2859621472060296E+00  2.5928579346826307E-02  9.9992720112426925E-01
  2.4129600442730328E+00  2.6637182794394768E-02  9.9991752448544391E-01
  2.5399579413400359E+00  2.7392360475958496E-02  9.9992189136478915E-01
  2.6669558384070391E+00  2.8193258655746081E-02  9.9991104084450944E-01
  2.7939537354740422E+00  2.9042209984055822E-02  9.9989921081390520E-01
  2.9209516325410454E+00  2.9940606878745727E-02  9.9988632340856110E-01
  3.0479495296080485E+00  3.0889927567231381E-02  9.9987229205908601E-01
  3.1749474266750517E+00  3.1891737073474577E-02  9.9985702362142126E-01
  3.3019453237420548E+00  3.2947691637022519E-02  9.9984041492984899E-01
  3.4289432208090580E+00  3.4059539713347027E-02  9.9982235512574380E-01
  3.5559411178760612E+00  3.5229127083064360E-02  9.9980272174741891E-01
  3.6829390149430643E+00  3.6458397917393769E-02  9.9978138302230701E-01
  3.8099369120100675E+00  3.7749400674325854E-02  9.9975819349360218E-01
  3.9369348090770706E+00  3.9104289173818862E-02  9.9973299688327077E-01
  4.0639327061440733E+00  4.0525329438400585E-02  9.9970562107807792E-01
  4.1909306032110765E+00  4.2014900790026004E-02  9.9967588099077109E-01
  4.3179285002780796E+00  4.3575503696058157E-02  9.9964357334327791E-01
  4.4449263973450828E+00  4.5209760992399380E-02  9.9960847851158574E-01
  4.5719242944120859E+00  4.6920426858410177E-02  9.9957035543589856E-01
  4.6989221914790891E+00  4.8711276087420700E-02  9.9951650604925002E-01
  4.8259200885460922E+00  5.0583633538362240E-02  9.9947062100946482E-01
  4.9529179856130954E+00  5.2541507141200733E-02  9.9942076807406544E-01
  5.0799158826800985E+00  5.4588228232120083E-02  9.9936660575418945E-01
  5.2069137797471017E+00  5.6727284673697184E-02  9.9930776666693799E-01
  5.3339116768141048E+00  5.8962331456503314E-02  9.9924384723310922E-01
  5.4609095738811080E+00  6.1297174366974190E-02  9.9917441233102977E-01
  5.5879074709481111E+00  6.3736146013971387E-02  9.9909897334003628E-01
  5.7149053680151143E+00  6.6283756930079124E-02  9.9901699987322168E-01
