# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9996991304101330E-02  1.0000000000195919E+00
  1.6302881611399989E-01  2.0014042716920234E-02  9.9999982550410449E-01
  3.2605763222799966E-01  2.0066106256078860E-02  9.9999928968163432E-01
  4.8908644834199944E-01  2.0153212441697193E-02  9.9999838757168091E-01
  6.5211526445600121E-01  2.0275455366234308E-02  9.9999711232094257E-01
  8.1514408057000309E-01  2.0432991883559144E-02  9.9999545493094577E-01
  9.7817289668400498E-01  2.0626041500346727E-02  9.9999340411387794E-01
  1.1412017127980068E+00  2.0854886546806402E-02  9.9999094613204809E-01
  1.3042305289120086E+00  2.1119872512560648E-02  9.9998806468254442E-01
  1.4672593450260105E+00  2.1421408511536143E-02  9.9998474077215926E-01
  1.6302881611400124E+00  2.1759967895618570E-02  9.9998095257130626E-01
  1.7933169772540143E+00  2.2136089001085591E-02  9.9997667526017686E-01
  1.9563457933680162E+00  2.2550376030654445E-02  9.9997188085904032E-01
  2.1193746094820178E+00  2.3003500040302410E-02  9.9996653800839053E-01
  2.2824034255960197E+00  2.3496200059480232E-02  9.9996061176191098E-01
  2.4454322417100216E+00  2.4029284364540208E-02  9.9995406336029169E-01
  2.6084610578240235E+00  2.4603631874316582E-02  9.9994684991617711E-01
  2.7714898739380254E+00  2.5220193659314750E-02  9.9993892424709407E-01
  2.9345186900520273E+00  2.5879994620360287E-02  9.9993023452177643E-01
  3.0975475061660291E+00  2.6584135309110836E-02  9.9992072366045126E-01
  3.2605763222800310E+00  2.7333793856971798E-02  9.9991032894475829E-01
  3.4236051383940329E+00  2.8130228110601545E-02  9.9989898183558090E-01
  3.5866339545080348E+00  2.8974777916441298E-02  9.9988660756253445E-01
  3.7496627706220367E+00  2.9868867511640029E-02  9.9987312457714594E-01
  3.9126915867360386E+00  3.0814008151536829E-02  9.9985844398672363E-01
  4.0757204028500400E+00  3.1811800916615902E-02  9.9984246882553862E-01
