# LSA profile bundle v1
WAVELENGTH   8.9759790099999996E+000
NZ 72
NBLOCKS 163
Z
  6.2333187569444441E-002  1.8699956270833332E-001  3.1166593784722224E-001  4.3633231298611108E-001  5.6099868812499998E-001
  6.8566506326388887E-001  8.1033143840277777E-001  9.3499781354166656E-001  1.0596641886805556E+000  1.1843305638194446E+000
  1.3089969389583331E+000  1.4336633140972221E+000  1.5583296892361111E+000  1.6829960643749999E+000  1.8076624395138887E+000
  1.9323288146527777E+000  2.0569951897916665E+000  2.1816615649305557E+000  2.3063279400694445E+000  2.4309943152083333E+000
  2.5556606903472221E+000  2.6803270654861109E+000  2.8049934406249997E+000  2.9296598157638889E+000  3.0543261909027777E+000
  3.1789925660416665E+000  3.3036589411805557E+000  3.4283253163194445E+000  3.5529916914583328E+000  3.6776580665972225E+000
  3.8023244417361113E+000  3.9269908168750001E+000  4.0516571920138880E+000  4.1763235671527772E+000  4.3009899422916664E+000
  4.4256563174305548E+000  4.5503226925694440E+000  4.6749890677083332E+000  4.7996554428472216E+000  4.9243218179861108E+000
  5.0489881931250000E+000  5.1736545682638884E+000  5.2983209434027776E+000  5.4229873185416668E+000  5.5476536936805552E+000
  5.6723200688194444E+000  5.7969864439583336E+000  5.9216528190972220E+000  6.0463191942361103E+000  6.1709855693749995E+000
  6.2956519445138888E+000  6.4203183196527771E+000  6.5449846947916663E+000  6.6696510699305556E+000  6.7943174450694439E+000
  6.9189838202083331E+000  7.0436501953472224E+000  7.1683165704861107E+000  7.2929829456249990E+000  7.4176493207638892E+000
  7.5423156959027766E+000  7.6669820710416667E+000  7.7916484461805551E+000  7.9163148213194443E+000  8.0409811964583326E+000
  8.1656475715972228E+000  8.2903139467361111E+000  8.4149803218749994E+000  8.5396466970138878E+000  8.6643130721527779E+000
  8.7889794472916662E+000  8.9136458224305564E+000
BLOCK 1   0.0000000000000000E+000
  1.0001093838597570E+000  1.0003280782914654E+000  1.0005457770642991E+000  1.0015029029428417E+000  1.0019126204264364E+000
  1.0023077817136228E+000  1.0026853793884354E+000  1.0030425397046090E+000  1.0033765444565215E+000  1.0036848516663783E+000
  1.0039651149301978E+000  1.0042152012753600E+000  1.0044332073938158E+000  1.0046174741274079E+000  1.0047665990950656E+000
  1.0048794473657707E+000  1.0049551600960669E+000  1.0049931610663754E+000  1.0049931610663756E+000  1.0049551600960669E+000
  1.0048794473657705E+000  1.0047665990950652E+000  1.0046174741274072E+000  1.0044332073938154E+000  1.0042152012753596E+000
  1.0039651149301971E+000  1.0036848516663777E+000  1.0033765444565206E+000  1.0030425397046083E+000  1.0026853793884347E+000
  1.0023077817136223E+000  1.0019126204264357E+000  1.0015029029428408E+000  1.0005457770643176E+000  1.0003280782914841E+000
  1.0001093838597759E+000  9.9989061616405139E-001  9.9967192173142205E-001  9.9945422295735586E-001  9.9849709710127299E-001
  9.9808737961508565E-001  9.9769221832480937E-001  9.9731462064650733E-001  9.9695746032653954E-001  9.9662345557065457E-001
  9.9631514835676371E-001  9.9603488508897164E-001  9.9578479874001846E-001  9.9556679261806924E-001  9.9538252588138698E-001
  9.9523340091113632E-001  9.9512055263841426E-001  9.9504483990673853E-001  9.9500683893572928E-001  9.9500683893572917E-001
  9.9504483990673842E-001  9.9512055263841415E-001  9.9523340091113621E-001  9.9538252588138687E-001  9.9556679261806891E-001
  9.9578479874001813E-001  9.9603488508897109E-001  9.9631514835676338E-001  9.9662345557065402E-001  9.9695746032653898E-001
  9.9731462064650667E-001  9.9769221832480870E-001  9.9808737961508487E-001  9.9849709710127244E-001  9.9945422295733921E-001
  9.9967192173140507E-001  9.9989061616403452E-001
BLOCK 2   6.5891770020000004E-002
  1.0001094219439606E+000  1.0003281697096738E+000  1.0005459201876403E+000  1.0015032822018815E+000  1.0019130951187964E+000
  1.0023083468549556E+000  1.0026860300821738E+000  1.0030432707337222E+000  1.0033773500937531E+000  1.0036857257169727E+000
  1.0039660507902499E+000  1.0042161919832304E+000  1.0044342456783948E+000  1.0046185524548557E+000  1.0047677097144521E+000
  1.0048805823537783E+000  1.0049563114008744E+000  1.0049943205508896E+000  1.0049943205508893E+000  1.0049563114008739E+000
  1.0048805823537783E+000  1.0047677097144525E+000  1.0046185524548545E+000  1.0044342456783941E+000  1.0042161919832295E+000
  1.0039660507902506E+000  1.0036857257169727E+000  1.0033773500937533E+000  1.0030432707337216E+000  1.0026860300821736E+000
  1.0023083468549550E+000  1.0019130951187967E+000  1.0015032822018815E+000  1.0005459201876608E+000  1.0003281697096948E+000
  1.0001094219439806E+000  9.9989059836759142E-001  9.9967185202507314E-001  9.9945410447123351E-001  9.9849676511363794E-001
  9.9808694268534870E-001  9.9769168131441566E-001  9.9731398884279532E-001  9.9695673869798274E-001  9.9662264952582691E-001
  9.9631426397872758E-001  9.9603392914815569E-001  9.9578377865327028E-001  9.9556571639062397E-001  9.9538140203916392E-001
