# LSA profile bundle v1
WAVELENGTH   8.9759790099999996E+000
NZ 72
NBLOCKS 65
Z
  6.2333187569444441E-002  1.8699956270833332E-001  3.1166593784722224E-001  4.3633231298611108E-001  5.6099868812499998E-001
  6.8566506326388887E-001  8.1033143840277777E-001  9.3499781354166656E-001  1.0596641886805556E+000  1.1843305638194446E+000
  1.3089969389583331E+000  1.4336633140972221E+000  1.5583296892361111E+000  1.6829960643749999E+000  1.8076624395138887E+000
  1.9323288146527777E+000  2.0569951897916665E+000  2.1816615649305557E+000  2.3063279400694445E+000  2.4309943152083333E+000
  2.5556606903472221E+000  2.6803270654861109E+000  2.8049934406249997E+000  2.9296598157638889E+000  3.0543261909027777E+000
  3.1789925660416665E+000  3.3036589411805557E+000  3.4283253163194445E+000  3.5529916914583328E+000  3.6776580665972225E+000
  3.8023244417361113E+000  3.9269908168750001E+000  4.0516571920138880E+000  4.1763235671527772E+000  4.3009899422916664E+000
  4.4256563174305548E+000  4.5503226925694440E+000  4.6749890677083332E+000  4.7996554428472216E+000  4.9243218179861108E+000
  5.0489881931250000E+000  5.1736545682638884E+000  5.2983209434027776E+000  5.4229873185416668E+000  5.5476536936805552E+000
  5.6723200688194444E+000  5.7969864439583336E+000  5.9216528190972220E+000  6.0463191942361103E+000  6.1709855693749995E+000
  6.2956519445138888E+000  6.4203183196527771E+000  6.5449846947916663E+000  6.6696510699305556E+000  6.7943174450694439E+000
  6.9189838202083331E+000  7.0436501953472224E+000  7.1683165704861107E+000  7.2929829456249990E+000  7.4176493207638892E+000
  7.5423156959027766E+000  7.6669820710416667E+000  7.7916484461805551E+000  7.9163148213194443E+000  8.0409811964583326E+000
  8.1656475715972228E+000  8.2903139467361111E+000  8.4149803218749994E+000  8.5396466970138878E+000  8.6643130721527779E+000
  8.7889794472916662E+000  8.9136458224305564E+000
BLOCK 1   0.0000000000000000E+000
  1.0001093838597570E+000  1.0003280782914654E+000  1.0005457770642991E+000  1.0015029029428417E+000  1.0019126204264364E+000
  1.0023077817136228E+000  1.0026853793884354E+000  1.0030425397046090E+000  1.0033765444565215E+000  1.0036848516663783E+000
  1.0039651149301978E+000  1.0042152012753600E+000  1.0044332073938158E+000  1.0046174741274079E+000  1.0047665990950656E+000
  1.0048794473657707E+000  1.0049551600960669E+000  1.0049931610663754E+000  1.0049931610663756E+000  1.0049551600960669E+000
  1.0048794473657705E+000  1.0047665990950652E+000  1.0046174741274072E+000  1.0044332073938154E+000  1.0042152012753596E+000
  1.0039651149301971E+000  1.0036848516663777E+000  1.0033765444565206E+000  1.0030425397046083E+000  1.0026853793884347E+000
  1.0023077817136223E+000  1.0019126204264357E+000  1.0015029029428408E+000  1.0005457770643176E+000  1.0003280782914841E+000
  1.0001093838597759E+000  9.9989061616405139E-001  9.9967192173142205E-001  9.9945422295735586E-001  9.9849709710127299E-001
  9.9808737961508565E-001  9.9769221832480937E-001  9.9731462064650733E-001  9.9695746032653954E-001  9.9662345557065457E-001
  9.9631514835676371E-001  9.9603488508897164E-001  9.9578479874001846E-001  9.9556679261806924E-001  9.9538252588138698E-001
  9.9523340091113632E-001  9.9512055263841426E-001  9.9504483990673853E-001  9.9500683893572928E-001  9.9500683893572917E-001
  9.9504483990673842E-001  9.9512055263841415E-001  9.9523340091113621E-001  9.9538252588138687E-001  9.9556679261806891E-001
  9.9578479874001813E-001  9.9603488508897109E-001  9.9631514835676338E-001  9.9662345557065402E-001  9.9695746032653898E-001
  9.9731462064650667E-001  9.9769221832480870E-001  9.9808737961508487E-001  9.9849709710127244E-001  9.9945422295733921E-001
  9.9967192173140507E-001  9.9989061616403452E-001
BLOCK 2   5.7106200683999998E-002
  1.0001094123730796E+000  1.0003281462634326E+000  1.0005458833366956E+000  1.0015031846599010E+000  1.0019129731342140E+000
  1.0023082015700704E+000  1.0026858627978157E+000  1.0030430827977133E+000  1.0033771429768292E+000  1.0036855010110350E+000
  1.0039658101929145E+000  1.0042159372842419E+000  1.0044339787471208E+000  1.0046182752282482E+000  1.0047674241853024E+000
  1.0048802905592202E+000  1.0049560154110952E+000  1.0049940224580105E+000  1.0049940224580105E+000  1.0049560154110952E+000
  1.0048802905592202E+000  1.0047674241853028E+000  1.0046182752282471E+000  1.0044339787471201E+000  1.0042159372842410E+000
  1.0039658101929150E+000  1.0036855010110346E+000  1.0033771429768299E+000  1.0030430827977124E+000  1.0026858627978157E+000
  1.0023082015700697E+000  1.0019129731342140E+000  1.0015031846599003E+000  1.0005458833367162E+000  1.0003281462634539E+000
  1.0001094123730994E+000  9.9989060278208153E-001  9.9967186983945799E-001  9.9945413501109948E-001  9.9849685072509398E-001
  9.9808705488597538E-001  9.9769181932930040E-001  9.9731415126883216E-001  9.9695692421975146E-001  9.9662285674734841E-001
  9.9631449133629080E-001  9.9603417490153101E-001  9.9578404089588191E-001  9.9556599306458948E-001  9.9538169095276507E-001
